Date,Value,quarter,month,weekofyear,year
2001-02-28,40.52,1,2,9,2001
2001-03-01,40.7,1,3,9,2001
2001-03-02,41.6,1,3,9,2001
2001-03-03,41.6,1,3,9,2001
2001-03-04,41.6,1,3,9,2001
2001-03-05,41.92,1,3,10,2001
2001-03-06,41.8,1,3,10,2001
2001-03-07,42.1,1,3,10,2001
2001-03-08,42.92,1,3,10,2001
2001-03-09,42.99,1,3,10,2001
2001-03-10,42.99,1,3,10,2001
2001-03-11,42.99,1,3,10,2001
2001-03-12,41.88,1,3,11,2001
2001-03-13,41.65,1,3,11,2001
2001-03-14,41.32,1,3,11,2001
2001-03-15,41.48,1,3,11,2001
2001-03-16,40.85,1,3,11,2001
2001-03-17,40.85,1,3,11,2001
2001-03-18,40.85,1,3,11,2001
2001-03-19,40.63,1,3,12,2001
2001-03-20,40.33,1,3,12,2001
2001-03-21,39.91,1,3,12,2001
2001-03-22,38.85,1,3,12,2001
2001-03-23,38.45,1,3,12,2001
2001-03-24,38.45,1,3,12,2001
2001-03-25,38.45,1,3,12,2001
2001-03-26,39.12,1,3,13,2001
2001-03-27,40.32,1,3,13,2001
2001-03-28,39.33,1,3,13,2001
2001-03-29,39.15,1,3,13,2001
2001-03-30,40.5,1,3,13,2001
2001-03-31,40.5,1,3,13,2001
2001-04-01,40.5,2,4,13,2001
2001-04-02,39.8,2,4,14,2001
2001-04-03,38.95,2,4,14,2001
2001-04-04,39.35,2,4,14,2001
2001-04-05,40.47,2,4,14,2001
2001-04-06,41.05,2,4,14,2001
2001-04-07,41.05,2,4,14,2001
2001-04-08,41.05,2,4,14,2001
2001-04-09,41.26,2,4,15,2001
2001-04-10,42.0,2,4,15,2001
2001-04-11,40.97,2,4,15,2001
2001-04-12,41.0,2,4,15,2001
2001-04-13,41.0,2,4,15,2001
2001-04-14,41.0,2,4,15,2001
2001-04-15,41.0,2,4,15,2001
2001-04-16,42.27,2,4,16,2001
2001-04-17,42.35,2,4,16,2001
2001-04-18,42.56,2,4,16,2001
2001-04-19,42.23,2,4,16,2001
2001-04-20,42.59,2,4,16,2001
2001-04-21,42.59,2,4,16,2001
2001-04-22,42.59,2,4,16,2001
2001-04-23,44.0,2,4,17,2001
2001-04-24,43.74,2,4,17,2001
2001-04-25,44.55,2,4,17,2001
2001-04-26,44.42,2,4,17,2001
2001-04-27,44.53,2,4,17,2001
2001-04-28,44.53,2,4,17,2001
2001-04-29,44.53,2,4,17,2001
2001-04-30,44.3,2,4,18,2001
2001-05-01,44.4,2,5,18,2001
2001-05-02,43.25,2,5,18,2001
2001-05-03,43.05,2,5,18,2001
2001-05-04,43.77,2,5,18,2001
2001-05-05,43.77,2,5,18,2001
2001-05-06,43.77,2,5,18,2001
2001-05-07,44.09,2,5,19,2001
2001-05-08,44.37,2,5,19,2001
2001-05-09,44.86,2,5,19,2001
2001-05-10,44.05,2,5,19,2001
2001-05-11,43.82,2,5,19,2001
2001-05-12,43.82,2,5,19,2001
2001-05-13,43.82,2,5,19,2001
2001-05-14,44.53,2,5,20,2001
2001-05-15,44.73,2,5,20,2001
2001-05-16,44.75,2,5,20,2001
2001-05-17,44.37,2,5,20,2001
2001-05-18,45.1,2,5,20,2001
2001-05-19,45.1,2,5,20,2001
2001-05-20,45.1,2,5,20,2001
2001-05-21,44.38,2,5,21,2001
2001-05-22,44.41,2,5,21,2001
2001-05-23,43.63,2,5,21,2001
2001-05-24,43.97,2,5,21,2001
2001-05-25,44.05,2,5,21,2001
2001-05-26,44.05,2,5,21,2001
2001-05-27,44.05,2,5,21,2001
